Menu Type,Menu Depth,Menu Breadth,Target Item
Radial,1,4,Food
Radial,1,4,Animals
Radial,1,4,Clothing
Radial,2,4,America
Radial,2,4,Reptiles
Radial,2,4,Birds
Radial,3,4,Skirt
Radial,3,4,Milk
Radial,3,4,T-Shirt
Radial,1,6,Sports
Radial,1,6,Food
Radial,1,6,Pokemon
Radial,2,6,Dairy
Radial,2,6,Australia
Radial,2,6,Insects
Radial,3,6,Salmon
Radial,3,6,Charmander
Radial,3,6,Windbreaker
Marking,1,4,Food
Marking,1,4,Animals
Marking,1,4,Clothing
Marking,2,4,America
Marking,2,4,Reptiles
Marking,2,4,Birds
Marking,3,4,Skirt
Marking,3,4,Milk
Marking,3,4,T-Shirt
Marking,1,6,Sports
Marking,1,6,Food
Marking,1,6,Pokemon
Marking,2,6,Dairy
Marking,2,6,Australia
Marking,2,6,Insects
Marking,3,6,Salmon
Marking,3,6,Charmander
Marking,3,6,Windbreaker
